City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Nishihara,JP,26.1842,127.7558,74.48,64,0,27.63,clear sky
304,Araouane,ML,18.9048,-3.5265,86.49,13,100,8.86,overcast clouds
305,Kargasok,RU,59.0556,80.8572,29.34,87,48,13.33,scattered clouds
306,San Juan,AR,-31.5375,-68.5364,84.07,18,0,5.59,clear sky
307,Upata,VE,8.0086,-62.3989,81.97,76,73,5.17,broken clouds
308,Pierre,US,44.3683,-100.351,77.05,51,0,14.97,clear sky
309,Benjamin Hill,MX,30.1667,-111.1,72.68,38,64,11.52,broken clouds
310,Bad Reichenhall,DE,47.7333,12.8833,60.35,76,0,11.5,clear sky
311,Belousovka,KZ,50.1339,82.5239,31.01,74,38,2.39,scattered clouds
312,Carauari,BR,-4.8828,-66.8958,76.21,94,100,2.15,overcast clouds
313,Alekseyevka,RU,50.6309,38.6903,47.53,94,100,11.3,light rain
314,Adrian,US,41.8975,-84.0372,76.59,47,75,16.11,broken clouds
315,Haines Junction,CA,60.7522,-137.5108,32.34,83,100,5.64,overcast clouds
316,Buchanan,LR,5.8808,-10.0467,77.95,85,97,4.9,light rain
317,Babstovo,RU,48.1167,132.4833,30.24,64,0,4.61,clear sky
318,Coihaique,CL,-45.5752,-72.0662,52.41,71,75,10.36,broken clouds
319,Zhuanghe,CN,39.7008,122.9911,43.61,54,0,7.05,clear sky
320,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,20,9.22,few clouds
321,Rancho Palos Verdes,US,33.7445,-118.387,73.51,61,40,7.0,scattered clouds
322,Dongying,CN,37.4564,118.4856,54.3,76,0,5.5,clear sky
323,Salinopolis,BR,-0.6136,-47.3561,83.68,72,41,16.4,scattered clouds
324,Itoman,JP,26.1247,127.6694,75.22,64,93,27.63,overcast clouds
325,Alexandria,EG,31.2156,29.9553,72.79,63,9,13.69,clear sky
326,Panaba,MX,21.2833,-88.2667,87.85,39,0,7.67,clear sky
327,Mayo,US,38.8876,-76.5119,67.12,73,75,9.22,broken clouds
328,Ust-Nera,RU,64.5667,143.2,-8.91,99,82,4.38,broken clouds
329,Mugur-Aksy,RU,50.35,90.5,31.15,80,99,8.12,light snow
330,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.76,75,57,14.43,broken clouds
331,Wiang Sa,TH,8.6359,99.3666,78.85,90,56,2.37,broken clouds
332,Moose Factory,CA,51.2585,-80.6094,57.02,73,100,4.79,overcast clouds
333,Shingu,JP,33.7333,135.9833,57.81,79,100,5.82,overcast clouds
334,Nanortalik,GL,60.1432,-45.2371,37.31,98,100,7.0,light rain
335,Abonnema,NG,4.7084,6.7931,77.67,88,100,2.8,moderate rain
