City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Tabou,CI,77.29,overcast clouds,4.423,-7.3528,hotêl doufoulougou
178,The Hammocks,US,85.01,scattered clouds,25.6715,-80.4445,Olimpia apartamento
179,Bubaque,GW,83.5,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Alofi,NU,75.18,light rain,-19.0595,-169.9187,Taloa Heights
182,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
183,Riachao Do Jacuipe,BR,89.28,overcast clouds,-11.8069,-39.3856,Riachão Palace Hotel
184,Sao Filipe,CV,80.19,clear sky,14.8961,-24.4956,Hotel Xaguate
185,Hobart,AU,51.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
186,Rio Grande,BR,62.46,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
187,Trebisov,SK,57.09,scattered clouds,48.6286,21.7195,Hotel Zemplín
190,Clarence Town,AU,64.94,overcast clouds,-32.5833,151.7833,River Downs Cottage
191,Betare Oya,CM,68.34,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
192,Aberdeen,GB,54.5,fog,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
194,Jashpurnagar,IN,62.1,broken clouds,22.9,84.15,Sagar Restaurant
196,Akdepe,TM,50.32,scattered clouds,42.0551,59.3788,
197,Fukue,JP,65.88,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
199,Daru,PG,77.9,scattered clouds,-9.0763,143.2092,Daru Lodge
200,Pucallpa,PE,79.45,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
203,Maridi,SS,69.62,overcast clouds,4.9158,29.4742,
205,Valparaiso,CL,62.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
206,Sioux Lookout,CA,60.46,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
207,Moengo,SR,87.8,overcast clouds,5.6167,-54.4,Masanga
208,Byron Bay,AU,64.36,light rain,-28.65,153.6167,Backpackers Inn
211,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
212,Mattru,SL,75.51,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
213,Am Timan,TD,78.94,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
215,Torbay,CA,63.27,broken clouds,47.6666,-52.7314,Gallows Cove
216,Makhu,IN,70.05,clear sky,31.1033,74.9978,Deep glass art
217,Patitirion,GR,73.38,clear sky,39.15,23.8667,Pension Votsi
220,Tutoia,BR,83.05,broken clouds,-2.7619,-42.2744,Pousada Guará's
222,Marion,US,79.56,few clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
223,Lahijan,IR,59.52,overcast clouds,37.2061,50.0029,Abrishami Hotel
224,Caravelas,BR,79.84,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
226,Gilgit,PK,59.9,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
227,Nioro,GM,84.34,broken clouds,13.35,-15.75,
228,Afyonkarahisar,TR,53.49,clear sky,38.75,30.6667,
230,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
232,Dinguiraye,GN,70.61,broken clouds,11.3,-10.7167,
233,Skibbereen,IE,53.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
234,Lompoc,US,73.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
235,Fredericton,CA,65.01,overcast clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
237,Vila Velha,BR,73.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
238,Asfi,MA,68.72,clear sky,32.2994,-9.2372,Hôtel Abda
239,Mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
240,Iaciara,BR,82.13,overcast clouds,-14.0958,-46.6317,Hotel Matinha
241,Baherden,TM,60.58,light rain,38.4362,57.4316,
242,Nusaybin,TR,65.7,clear sky,37.0778,41.2178,Aydinlar Hotel
243,Kavieng,PG,79.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
246,Santa Rosa,PH,80.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
247,Redding,US,63.82,clear sky,40.5865,-122.3917,Redding Inn & Suites
248,Mana,GF,84.38,overcast clouds,5.6592,-53.7767,LE SAMANA
249,Waipawa,NZ,54.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
250,Ahipara,NZ,54.43,clear sky,-35.1667,173.1667,Ahipara Holiday Park
